Iteration,Cost,Sequence
0,17,2 3 1
1,17,2 3 1
2,17,2 3 1
3,17,2 3 1
4,17,2 3 1
5,17,2 3 1
6,17,2 3 1
7,17,2 3 1
8,17,2 3 1
9,17,2 3 1
10,17,2 3 1
11,17,2 3 1
12,17,2 3 1
13,17,2 3 1
14,17,2 3 1
15,17,2 3 1
16,17,2 3 1
17,17,2 3 1
18,17,2 3 1
19,17,2 3 1
20,17,2 3 1
21,17,2 3 1
22,17,2 3 1
23,17,2 3 1
24,17,2 3 1
25,17,2 3 1
26,17,2 3 1
27,17,2 3 1
28,17,2 3 1
29,17,2 3 1
30,17,2 3 1
31,17,2 3 1
32,17,2 3 1
33,17,2 3 1
34,17,2 3 1
35,17,2 3 1
36,17,2 3 1
37,17,2 3 1
38,17,2 3 1
39,17,2 3 1
40,17,2 3 1
41,17,2 3 1
42,17,2 3 1
43,17,2 3 1
44,17,2 3 1
45,17,2 3 1
46,17,2 3 1
47,17,2 3 1
48,17,2 3 1
49,17,2 3 1
50,17,2 3 1
51,17,2 3 1
52,17,2 3 1
53,17,2 3 1
54,17,2 3 1
55,17,2 3 1
56,17,2 3 1
57,17,2 3 1
58,17,2 3 1
59,17,2 3 1
60,17,2 3 1
61,17,2 3 1
62,17,2 3 1
63,17,2 3 1
64,17,2 3 1
65,17,2 3 1
66,17,2 3 1
67,17,2 3 1
68,17,2 3 1
69,17,2 3 1
70,17,2 3 1
71,17,2 3 1
72,17,2 3 1
73,17,2 3 1
74,17,2 3 1
75,17,2 3 1
76,17,2 3 1
77,17,2 3 1
78,17,2 3 1
79,17,2 3 1
80,17,2 3 1
81,17,2 3 1
82,17,2 3 1
83,17,2 3 1
84,17,2 3 1
85,17,2 3 1
86,17,2 3 1
87,17,2 3 1
88,17,2 3 1
89,17,2 3 1
90,17,2 3 1
91,17,2 3 1
92,17,2 3 1
93,17,2 3 1
94,17,2 3 1
95,17,2 3 1
96,17,2 3 1
97,17,2 3 1
98,17,2 3 1
99,17,2 3 1
100,17,2 3 1
101,17,2 3 1
102,17,2 3 1
103,17,2 3 1
104,17,2 3 1
105,17,2 3 1
106,17,2 3 1
107,17,2 3 1
108,17,2 3 1
109,17,2 3 1
110,17,2 3 1
111,17,2 3 1
112,17,2 3 1
113,17,2 3 1
114,17,2 3 1
115,17,2 3 1
116,17,2 3 1
117,17,2 3 1
118,17,2 3 1
119,17,2 3 1
120,17,2 3 1
121,17,2 3 1
122,17,2 3 1
123,17,2 3 1
124,17,2 3 1
125,17,2 3 1
126,17,2 3 1
127,17,2 3 1
128,17,2 3 1
129,17,2 3 1
130,17,2 3 1
131,17,2 3 1
132,17,2 3 1
133,17,2 3 1
134,17,2 3 1
135,17,2 3 1
136,17,2 3 1
137,17,2 3 1
138,17,2 3 1
139,17,2 3 1
140,17,2 3 1
141,17,2 3 1
142,17,2 3 1
143,17,2 3 1
144,17,2 3 1
145,17,2 3 1
146,17,2 3 1
147,17,2 3 1
148,17,2 3 1
149,17,2 3 1
150,17,2 3 1
151,17,2 3 1
152,17,2 3 1
153,17,2 3 1
154,17,2 3 1
155,17,2 3 1
156,17,2 3 1
157,17,2 3 1
158,17,2 3 1
159,17,2 3 1
160,17,2 3 1
161,17,2 3 1
162,17,2 3 1
163,17,2 3 1
164,17,2 3 1
165,17,2 3 1
166,17,2 3 1
167,17,2 3 1
168,17,2 3 1
169,17,2 3 1
170,17,2 3 1
171,17,2 3 1
172,17,2 3 1
173,17,2 3 1
174,17,2 3 1
175,17,2 3 1
176,17,2 3 1
177,17,2 3 1
178,17,2 3 1
179,17,2 3 1
180,17,2 3 1
181,17,2 3 1
182,17,2 3 1
183,17,2 3 1
184,17,2 3 1
185,17,2 3 1
186,17,2 3 1
187,17,2 3 1
188,17,2 3 1
189,17,2 3 1
190,17,2 3 1
191,17,2 3 1
192,17,2 3 1
193,17,2 3 1
194,17,2 3 1
195,17,2 3 1
196,17,2 3 1
197,17,2 3 1
198,17,2 3 1
199,17,2 3 1
200,17,2 3 1
201,17,2 3 1
202,17,2 3 1
203,17,2 3 1
204,17,2 3 1
205,17,2 3 1
206,17,2 3 1
207,17,2 3 1
208,17,2 3 1
209,17,2 3 1
210,17,2 3 1
211,17,2 3 1
212,17,2 3 1
213,17,2 3 1
214,17,2 3 1
215,17,2 3 1
216,17,2 3 1
217,17,2 3 1
218,17,2 3 1
219,17,2 3 1
220,17,2 3 1
221,17,2 3 1
222,17,2 3 1
223,17,2 3 1
224,17,2 3 1
225,17,2 3 1
226,17,2 3 1
227,17,2 3 1
228,17,2 3 1
229,17,2 3 1
230,17,2 3 1
231,17,2 3 1
232,17,2 3 1
233,17,2 3 1
234,17,2 3 1
235,17,2 3 1
236,17,2 3 1
237,17,2 3 1
238,17,2 3 1
239,17,2 3 1
240,17,2 3 1
241,17,2 3 1
242,17,2 3 1
243,17,2 3 1
244,17,2 3 1
245,17,2 3 1
246,17,2 3 1
247,17,2 3 1
248,17,2 3 1
249,17,2 3 1
