Iteration,Cost,Sequence
0,27,3 2 1
1,17,2 3 1
2,17,2 3 1
3,17,2 3 1
4,17,2 3 1
5,17,2 3 1
6,17,2 3 1
7,17,2 3 1
8,17,2 3 1
9,17,2 3 1
10,17,2 3 1
11,17,2 3 1
12,17,2 3 1
13,17,2 3 1
14,17,2 3 1
15,17,2 3 1
16,17,2 3 1
17,17,2 3 1
18,17,2 3 1
19,17,2 3 1
20,17,2 3 1
21,17,2 3 1
22,17,2 3 1
23,17,2 3 1
24,17,2 3 1
25,17,2 3 1
26,17,2 3 1
27,17,2 3 1
28,17,2 3 1
29,17,2 3 1
30,17,2 3 1
31,17,2 3 1
32,17,2 3 1
33,17,2 3 1
34,17,2 3 1
35,17,2 3 1
36,17,2 3 1
37,17,2 3 1
38,17,2 3 1
39,17,2 3 1
40,17,2 3 1
41,17,2 3 1
42,17,2 3 1
43,17,2 3 1
44,17,2 3 1
45,17,2 3 1
46,17,2 3 1
47,17,2 3 1
48,17,2 3 1
49,17,2 3 1
50,17,2 3 1
51,17,2 3 1
52,17,2 3 1
53,17,2 3 1
54,17,2 3 1
55,17,2 3 1
56,17,2 3 1
57,17,2 3 1
58,17,2 3 1
59,17,2 3 1
60,17,2 3 1
61,17,2 3 1
62,17,2 3 1
63,17,2 3 1
64,17,2 3 1
65,17,2 3 1
66,17,2 3 1
67,17,2 3 1
68,17,2 3 1
69,17,2 3 1
70,17,2 3 1
71,17,2 3 1
72,17,2 3 1
73,17,2 3 1
74,17,2 3 1
75,17,2 3 1
76,17,2 3 1
77,17,2 3 1
78,17,2 3 1
79,17,2 3 1
80,17,2 3 1
81,17,2 3 1
82,17,2 3 1
83,17,2 3 1
84,17,2 3 1
85,17,2 3 1
86,17,2 3 1
87,17,2 3 1
88,17,2 3 1
89,17,2 3 1
90,17,2 3 1
91,17,2 3 1
92,17,2 3 1
93,17,2 3 1
94,17,2 3 1
95,17,2 3 1
96,17,2 3 1
97,17,2 3 1
98,17,2 3 1
99,17,2 3 1
100,17,2 3 1
101,17,2 3 1
102,17,2 3 1
103,17,2 3 1
104,17,2 3 1
105,17,2 3 1
106,17,2 3 1
107,17,2 3 1
108,17,2 3 1
109,17,2 3 1
110,17,2 3 1
111,17,2 3 1
112,17,2 3 1
113,17,2 3 1
114,17,2 3 1
115,17,2 3 1
116,17,2 3 1
117,17,2 3 1
118,17,2 3 1
119,17,2 3 1
120,17,2 3 1
121,17,2 3 1
122,17,2 3 1
123,17,2 3 1
124,17,2 3 1
125,17,2 3 1
126,17,2 3 1
127,17,2 3 1
128,17,2 3 1
129,17,2 3 1
130,17,2 3 1
131,17,2 3 1
132,17,2 3 1
133,17,2 3 1
134,17,2 3 1
135,17,2 3 1
136,17,2 3 1
137,17,2 3 1
138,17,2 3 1
139,17,2 3 1
140,17,2 3 1
141,17,2 3 1
142,17,2 3 1
143,17,2 3 1
144,17,2 3 1
145,17,2 3 1
146,17,2 3 1
147,17,2 3 1
148,17,2 3 1
149,17,2 3 1
150,17,2 3 1
151,17,2 3 1
152,17,2 3 1
153,17,2 3 1
154,17,2 3 1
155,17,2 3 1
156,17,2 3 1
157,17,2 3 1
158,17,2 3 1
159,17,2 3 1
160,17,2 3 1
161,17,2 3 1
162,17,2 3 1
163,17,2 3 1
164,17,2 3 1
165,17,2 3 1
166,17,2 3 1
167,17,2 3 1
168,17,2 3 1
169,17,2 3 1
170,17,2 3 1
171,17,2 3 1
