Iteration,Cost,Sequence
0,35,1 4 2 3 5 6
1,35,1 4 2 3 5 6
2,35,1 4 2 3 5 6
3,35,1 4 2 3 5 6
4,34,1 4 2 6 5 3
5,34,1 4 2 6 5 3
6,34,1 4 2 6 5 3
7,34,1 4 2 6 5 3
8,34,1 4 2 6 5 3
9,34,1 4 2 6 5 3
10,34,1 4 2 6 5 3
11,34,1 4 2 6 5 3
12,34,1 4 2 6 5 3
13,34,1 4 2 6 5 3
14,34,1 4 2 6 5 3
15,34,1 4 2 6 5 3
16,34,2 4 1 6 5 3
17,34,2 4 1 6 5 3
18,34,2 4 1 6 5 3
19,34,2 4 1 6 5 3
20,34,2 4 1 6 5 3
21,34,2 4 1 6 5 3
22,34,2 4 1 6 5 3
23,34,2 4 1 6 5 3
24,34,2 4 1 6 5 3
25,34,2 4 1 6 5 3
26,34,2 4 1 6 5 3
27,34,2 4 1 6 5 3
28,34,2 4 1 6 5 3
29,34,2 4 1 6 5 3
30,34,1 4 2 6 5 3
31,34,1 4 2 6 5 3
32,34,1 4 2 6 5 3
33,34,1 4 2 6 5 3
34,34,1 4 2 6 5 3
35,34,2 4 1 6 5 3
36,34,4 2 1 6 5 3
37,34,4 2 1 6 5 3
38,34,2 4 1 6 5 3
39,34,2 4 1 6 5 3
40,34,2 4 1 6 5 3
41,34,2 4 1 6 5 3
42,34,2 4 1 6 5 3
43,34,1 4 2 6 5 3
44,34,1 4 2 6 5 3
45,34,1 4 2 6 5 3
46,34,1 4 2 6 5 3
47,34,1 4 2 6 5 3
48,30,1 2 4 6 5 3
49,30,1 2 4 6 5 3
50,30,1 2 4 6 5 3
51,30,1 2 4 6 5 3
52,30,1 2 4 6 5 3
53,25,1 2 4 3 5 6
54,25,1 2 4 3 5 6
55,25,1 2 4 3 5 6
56,25,1 2 4 3 5 6
57,25,1 2 4 3 5 6
58,25,1 2 4 3 5 6
59,25,1 2 4 3 5 6
60,25,1 2 4 3 5 6
61,25,1 2 4 3 5 6
62,25,1 2 4 3 5 6
63,25,1 2 4 3 5 6
64,25,1 2 4 3 5 6
65,25,1 2 4 3 5 6
66,25,1 2 4 3 5 6
67,25,1 2 4 3 5 6
68,25,1 2 4 3 5 6
69,25,1 2 4 3 5 6
70,25,1 2 4 3 5 6
71,25,1 2 4 3 5 6
72,25,1 2 4 3 5 6
73,25,1 2 4 3 5 6
74,25,1 2 4 3 5 6
75,25,1 2 4 3 5 6
76,25,1 2 4 3 5 6
77,25,1 2 4 3 5 6
78,25,1 2 4 3 5 6
79,25,1 2 4 3 5 6
80,25,1 2 4 3 5 6
81,25,1 2 4 3 5 6
82,25,1 2 4 3 5 6
83,25,1 2 4 3 5 6
84,25,1 2 4 3 5 6
85,25,1 2 4 3 5 6
86,25,1 2 4 3 5 6
87,25,1 2 4 3 5 6
88,25,1 2 4 3 5 6
89,25,1 2 4 3 5 6
90,25,1 2 4 3 5 6
91,25,1 2 4 3 5 6
92,25,1 2 4 3 5 6
93,25,1 2 4 3 5 6
94,25,1 2 4 3 5 6
95,25,1 2 4 3 5 6
96,25,1 2 4 3 5 6
97,25,1 2 4 3 5 6
98,25,1 2 4 3 5 6
99,25,1 2 4 3 5 6
