Iteration,Cost,Temperature,Sequence
0,201,5000,15 7 5 14 2 17 6 4 3 16 18 13 11 12 20 8 1 19 9 10
1,193,4750,15 7 5 14 2 10 6 4 3 16 18 13 11 12 20 8 1 19 9 17
2,187,4512,5,15 7 14 5 2 10 6 4 3 16 18 13 11 12 20 8 1 19 9 17
3,187,4286,875,15 7 14 5 2 10 6 4 3 16 18 13 11 12 19 8 1 20 9 17
4,193,4072,531,8 7 14 5 2 10 6 4 3 16 18 13 11 12 19 15 1 20 9 17
5,195,3868,904,8 7 14 10 2 5 6 4 3 16 18 13 11 12 19 15 1 20 9 17
6,207,3675,459,8 7 14 10 2 5 6 4 3 16 12 13 11 18 19 15 1 20 9 17
7,205,3491,686,8 7 14 10 2 5 6 4 3 16 1 13 11 18 19 15 12 20 9 17
8,199,3317,102,8 7 14 10 2 5 6 4 3 16 1 13 11 18 15 19 12 20 9 17
9,191,3151,247,8 13 14 10 2 5 6 4 3 16 1 7 11 18 15 19 12 20 9 17
10,221,2993,684,8 13 14 10 2 5 6 4 3 16 19 7 11 18 15 1 12 20 9 17
11,217,2844,8 13 14 17 2 5 6 4 3 16 19 7 11 18 15 1 12 20 9 10
12,215,2701,8,8 13 14 17 2 5 6 4 3 16 19 11 7 18 15 1 12 20 9 10
13,203,2566,71,8 13 14 17 2 5 6 4 3 16 19 11 7 18 15 1 12 9 20 10
14,195,2438,375,8 13 14 17 2 5 6 4 3 16 19 1 7 18 15 11 12 9 20 10
15,217,2316,456,8 13 14 17 2 5 6 4 3 16 19 1 12 18 15 11 7 9 20 10
16,213,2200,633,8 13 14 17 2 5 6 4 19 16 3 1 12 18 15 11 7 9 20 10
17,215,2090,601,8 13 14 17 2 5 6 4 19 16 3 1 12 18 15 11 10 9 20 7
18,199,1986,071,8 13 14 17 2 5 6 4 19 16 3 1 20 18 15 11 10 9 12 7
19,213,1886,768,8 13 14 9 2 5 6 4 19 16 3 1 20 18 15 11 10 17 12 7
20,207,1792,429,8 13 14 9 2 5 6 4 19 16 3 1 10 18 15 11 20 17 12 7
21,209,1702,808,8 13 14 9 2 5 6 4 19 16 3 1 10 18 17 11 20 15 12 7
22,201,1617,667,8 13 14 9 2 5 6 4 19 16 3 1 10 7 17 11 20 15 12 18
23,209,1536,784,8 13 14 9 2 5 6 4 19 16 3 17 10 7 1 11 20 15 12 18
24,221,1459,945,8 13 14 9 2 19 6 4 5 16 3 17 10 7 1 11 20 15 12 18
25,209,1386,948,8 13 14 9 2 19 6 4 5 16 11 17 10 7 1 3 20 15 12 18
26,199,1317,6,8 13 14 9 2 19 6 4 1 16 11 17 10 7 5 3 20 15 12 18
27,203,1251,72,8 13 14 11 2 19 6 4 1 16 9 17 10 7 5 3 20 15 12 18
28,195,1189,134,8 13 14 11 2 19 6 4 1 16 17 9 10 7 5 3 20 15 12 18
29,199,1129,677,8 13 14 11 2 19 6 4 20 16 17 9 10 7 5 3 1 15 12 18
30,203,1073,193,8 13 14 11 2 20 6 4 19 16 17 9 10 7 5 3 1 15 12 18
31,213,1019,534,8 13 14 11 2 20 3 4 19 16 17 9 10 7 5 6 1 15 12 18
32,209,968,557,8 13 14 11 10 20 3 4 19 16 17 9 2 7 5 6 1 15 12 18
33,211,920,1292,12 13 14 11 10 20 3 4 19 16 17 9 2 7 5 6 1 15 8 18
34,219,874,1227,5 13 14 11 10 20 3 4 19 16 17 9 2 7 12 6 1 15 8 18
